Name,Team,Pos,No,ID
Barclay Goodrow,SJS,C,23,8476624
Collin Graf,SJS,R,51,8484911
Philipp Kurashev,SJS,C,96,8480798
Michael Misa,SJS,C,77,8485402
Zack Ostapchuk,SJS,C,63,8482859
Ryan Reaves,SJS,R,75,8471817
Pavol Regenda,SJS,L,84,8483630
Kiefer Sherwood,SJS,L,44,8480748
Will Smith,SJS,C,2,8484227
Tyler Toffoli,SJS,C,73,8475726
Alexander Wennberg,SJS,C,21,8477505
Vincent Desharnais,SJS,D,5,8479576
Sam Dickinson,SJS,D,6,8484806
Mario Ferraro,SJS,D,38,8479983
John Klingberg,SJS,D,3,8475906
Nick Leddy,SJS,D,4,8475181
Shakir Mukhamadullin,SJS,D,85,8482166
Dmitry Orlov,SJS,D,9,8475200
Yaroslav Askarov,SJS,G,30,8482137
Laurent Brossoit,SJS,G,93,8476316
Alex Nedeljkovic,SJS,G,33,8477968
