Name,Team,Pos,No
Teuvo Teravainen,CHI,C,86
Dominic Toninato,CHI,C,25
Louis Crevier,CHI,D,46
Ethan Del Mastro,CHI,D,38
Matt Grzelcyk,CHI,D,48
Wyatt Kaiser,CHI,D,44
Artyom Levshunov,CHI,D,55
Sam Rinzel,CHI,D,6
Alex Vlasic,CHI,D,72
Spencer Knight,CHI,G,30
Arvid Soderblom,CHI,G,40
Mikael Backlund,CGY,C,11
John Beecher,CGY,C,18
Blake Coleman,CGY,L,20
Matt Coronato,CGY,R,27
Joel Farabee,CGY,L,86
Morgan Frost,CGY,C,16
Matvei Gridin,CGY,R,92
Tyson Gross,CGY,C,39
Samuel Honzek,CGY,L,29
Jonathan Huberdeau,CGY,L,10
Adam Klapka,CGY,R,43
Ryan Lomberg,CGY,L,70
Victor Olofsson,CGY,L,95
Martin Pospisil,CGY,C,76
Yegor Sharangovich,CGY,C,17
Ryan Strome,CGY,C,22
Connor Zary,CGY,C,47
Kevin Bahl,CGY,D,7
Jake Bean,CGY,D,24
Hunter Brzustewicz,CGY,D,48
Joel Hanley,CGY,D,44
Yan Kuznetsov,CGY,D,37
Olli Määttä,CGY,D,3
Brayden Pachal,CGY,D,94
Zayne Parekh,CGY,D,19
Zach Whitecloud,CGY,D,28
Devin Cooley,CGY,G,1
Dustin Wolf,CGY,G,32
Nils Aman,VAN,C,88
Teddy Blueger,VAN,C,53
Brock Boeser,VAN,R,6
Filip Chytil,VAN,C,72
Jake DeBrusk,VAN,L,74
Curtis Douglas,VAN,C,42
Nils Hoglander,VAN,L,21
Evander Kane,VAN,L,91
Linus Karlsson,VAN,C,94
Drew O'Connor,VAN,L,18
Liam Ohgren,VAN,L,92
Elias Pettersson,VAN,C,40
Aatu Räty,VAN,C,54
Marco Rossi,VAN,C,93
Max Sasson,VAN,C,63
Zeev Buium,VAN,D,24
Derek Forbort,VAN,D,27
Filip Hronek,VAN,D,17
Pierre-Olivier Joseph,VAN,D,7
Victor Mancini,VAN,D,90
Elias Pettersson,VAN,D,25
Marcus Pettersson,VAN,D,29
Tom Willander,VAN,D,5
Thatcher Demko,VAN,G,35
Kevin Lankinen,VAN,G,32
Nikita Tolopilo,VAN,G,60
